name,red,green,blue,alpha,id
wall, 0, 0, 0, 255, 0
floor,128, 0, 0, 255, 1
cabinet, 0, 128, 0, 255, 2
bed, 128, 128, 0, 255, 3
chair, 0, 0, 128, 255, 4
sofa, 128, 0, 128, 255, 5
table, 0, 128, 128, 255, 6
door, 128, 128, 128, 255, 7
window, 64, 0, 0, 255, 8
bookshelf, 192, 0, 0, 255, 9
picture, 64, 128, 0, 255, 10
counter, 192, 128, 0, 255, 11
blinds, 64, 0, 128, 255, 12
desk, 192, 0, 128, 255, 13
shelves, 64, 128, 128, 255, 14
curtain, 192, 128, 128, 255, 15
dresser, 0, 64, 0, 255, 16
pillow,128, 64, 0, 255, 17
mirror, 0, 192, 0, 255, 18
floor_mat, 128, 192, 0, 255, 19
clothes, 0, 64, 128, 255, 20
ceiling, 128, 64, 128, 255, 21
books, 0, 192, 128, 255, 22
refridgerator, 128, 192, 128, 255, 23
television, 64, 64, 0, 255, 24
paper, 192, 64, 0, 255, 25
towel, 64, 192, 0, 255, 26
shower_curtain, 192, 192, 0, 255, 27
box, 64, 64, 128, 255, 28
whiteboard, 192, 64, 128, 255, 29
person, 64, 192, 128, 255, 30
night_stand, 192, 192, 128, 255, 31
toilet, 0, 0, 64, 255, 32
sink, 128, 0, 64, 255, 33
lamp, 0, 128, 64, 255, 34
bathtub, 128, 128, 64, 255, 35
bag, 0, 0, 192, 255, 36
otherstructure, 128, 0, 192, 255, 37
otherfurniture, 0, 128, 192, 255, 38
otherprop, 128, 128, 192, 255, 39
